"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"CIAO2A",1219,929,1461,1562,1052,853,1534,1091
"AC100840.1",23,14,22,10,22,13,23,24
"PPIB",217,185,353,322,207,174,278,236
"ZNF609",1404,1201,1418,1235,1303,1169,1688,1327
"AC091231.2",86,73,60,37,89,91,84,62
"GAPDHP61",3708,2838,4094,3995,4871,4042,5241,4156
"AC090543.1",18,14,19,11,16,10,13,14
"RNU6-549P",1651,1311,1959,1986,1719,1555,1822,1526
"OAZ2",3410,2752,4216,3838,2679,2390,3761,2822
"AC100830.2",263,238,298,257,319,313,314,241
"MIR1272",33,31,47,39,67,48,53,55
"ANKDD1A",1085,966,742,614,1240,1071,838,648
"MTFMT",423,359,682,611,483,425,784,593
"AC013553.1",35,21,15,12,10,4,15,11
"PDCD7",5377,4124,6822,6726,4729,4013,6057,4630
"CLPX",189,138,217,226,186,169,211,180
"RNU6-686P",92,61,29,30,128,122,50,51
"IGDCC4",271,198,323,331,379,350,458,347
"DPP8",1625,1115,1856,1887,1612,1306,2559,1873
"INTS14",260,214,148,130,278,242,178,128
"DENND4A",530,478,452,399,721,646,505,358
"HNRNPA1P44",700,605,636,570,508,409,487,446
"MIR4311",1638,1638,1548,1217,941,846,1414,1073
"MAP2K1",48,54,35,38,55,49,46,43
"RPL35AP32",196,149,255,276,255,217,297,240
"AC116913.2",841,596,803,919,984,841,1134,880
"SNORD16",38,39,52,38,42,27,31,30
"SMAD6",3782,3386,3680,3072,3591,3389,3537,2475
"AC093334.1",25,17,22,20,24,22,24,22
"LINC02206",554,381,529,525,472,470,567,455
"AC087482.1",27,29,19,13,18,13,16,21
"AAGAB",278,284,185,156,194,186,204,143
"IQCH-AS1",178,120,208,233,167,141,233,191
"MAP2K5",158,145,124,102,197,196,215,118
"SKOR1",1212,989,866,868,1079,979,1020,743
"AC135628.1",110,78,74,72,98,77,92,62
"CLN6",5351,4972,5445,4436,5035,4731,5682,4149
"AC087639.1",313,233,390,409,409,332,465,351
"AC027088.1",20,24,17,17,17,22,23,14
"AC027088.5",89,89,46,28,98,84,49,40
"AC026992.2",1556,1176,1590,1550,1786,1606,1811,1374
"PAQR5",600,499,791,813,826,729,1078,774
"AC027237.1",988,623,934,1026,1142,908,1096,918
"AC100826.1",48,49,53,50,39,39,39,35
"TLE3",158,108,119,125,171,145,142,112
