gene_symbol,comparison,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTCO2P20,treat_vs_con,3468.43954371471,0.0469408133416477,0.130070208582005,0.360888276057873,0.718182968173149,0.81583574376017
APOL1,treat_vs_con,753.110762733146,-0.102051895428774,0.0925203027055407,-1.10302163357127,0.270017770519664,0.413685883328925
MIR6819,treat_vs_con,802.210986091133,0.392284335382544,0.111600196165806,3.51508643228298,0.000439610885824295,0.00243315479883597
IFT27,treat_vs_con,438.481181163979,0.215801352812926,0.125790499568098,1.71556161676661,0.0862423087539929,0.175028706153192
PVALB,treat_vs_con,348.849070116567,-0.0276490655955534,0.113851852255116,-0.242851258437132,0.808120625424126,0.879525153097997
TST,treat_vs_con,65.4693239219759,-0.132279388900742,0.178037467604888,-0.742986241493305,0.457490010290494,0.60021374351662
KCTD17,treat_vs_con,98.7541813515801,-0.300791028803858,0.167954549083391,-1.79090730465724,0.0733081713013466,0.154012034220705
AL022314.1,treat_vs_con,1826.20630449435,-0.479304117531437,0.0767288333021354,-6.24672755864903,4.19141206626086e-10,1.53994475224932e-08
IL2RB,treat_vs_con,41.0892667329225,0.0854285139287277,0.213525120311244,0.400086480711044,0.689092821353943,0.794722819604835
ELFN2,treat_vs_con,173.953371324484,0.289075705697869,0.123700701365828,2.3368962544761,0.0194445791559398,0.0541019294906793
AL022315.1,treat_vs_con,77.9178450124294,-1.33659389294866,0.227889615073938,-5.86509346867347,4.48879763538834e-09,1.23031325598006e-07
SH3BP1,treat_vs_con,108.534567261845,0.43780301534274,0.16924987665874,2.58672575712114,0.0096892674813118,0.0310519390455083
GCAT,treat_vs_con,508.936703894531,-0.345430531177556,0.0829918608787005,-4.1622217831991,3.15166020197504e-05,0.000271391007682349
MIR658,treat_vs_con,637.008530782845,0.362736490263208,0.127089478195243,2.85418191509096,0.00431478161784477,0.0159734045921085
EIF3L,treat_vs_con,389.238651756308,-0.400188919281901,0.0908696372492524,-4.4039894005981,1.06278137977207e-05,0.000108106654391976
AL031587.5,treat_vs_con,15.5026072041566,-0.0314695975213654,0.246512473292386,-0.127659250264548,0.898418639735517,0.936981345602223
SOX10,treat_vs_con,713.572669800987,-0.181654655629939,0.111813201246064,-1.62462619445245,0.104242232215602,0.203126895481622
AL031587.4,treat_vs_con,1379.40759483849,0.283841891804474,0.0714043401463352,3.97513500191686,7.03393443288774e-05,0.000531801284830429
AL031587.2,treat_vs_con,711.969926872488,0.04061324710793,0.096074345403497,0.422727284139807,0.672494246618943,0.781747673988742
BAIAP2L2,treat_vs_con,4587.74868687041,0.0692989325581826,0.131444439706342,0.527210833056175,0.598047186630918,0.724491344703615
PLA2G6,treat_vs_con,153.802904595282,0.134666778920753,0.124870392620133,1.07845243452082,0.280831897865735,0.425480315755145
CSNK1E,treat_vs_con,308.121115163878,0.198407750975686,0.156892641404287,1.26460839208144,0.206011743238779,0.33957250689976
Z97056.2,treat_vs_con,2122.18566111816,-0.0704435151706435,0.0817387905374175,-0.861812545885378,0.388790679931542,0.53671756861904
